Student ID,Student Name,Email,Mobile,P-1,P-2,P-3,P-4,P-5,P_level,C-1,C-2,C-3,C-4,C-5,C_level,M-1,M-2,M-3,M-4,M-5,M_level
16CS01,Abhi,abhishekone05@gmail.com,9799584969,90,60,40,55,70,1,45,60,70,30,20,0,40,70,80,75,70,1
16CS02,Ajay,abhishekone05@gmail.com,9001454961,30,70,60,30,50,0,55,45,65,90,95,1,50,40,75,73,83,1
16CS03,Akshay,abhishekone05@gmail.com,9001234567,60,40,88,30,65,1,60,45,83,89,76,1,60,39,67,75,90,1
16CS04,Dhruv,abhishekone05@gmail.com,9876543212,80,40,67,55,90,1,43,35,38,41,49,0,33,38,45,59,43,0
16CS05,Gourav,abhishekone05@gmail.com,8877557744,40,69,89,70,40,1,45,60,33,40,49,0,50,55,30,40,45,0
16CS06,Hargi,abhishekone05@gmail.com,6789054321,60,40,34,30,43,0,40,55,70,65,80,1,60,70,68,80,77,1
16CS07,Abhishek,abhishekone05@gmail.com,6698765432,35,60,40,30,50,0,60,40,70,80,76,1,47,49,55,30,33,0
16CS08,Sourabh,abhishekone05@gmail.com,7723456789,88,64,50,90,75,1,40,45,60,70,99,1,70,85,30,94,97,1
16CS09,Avinash,abhishekone05@gmail.com,9870298487,50,50,30,70,55,1,33,37,40,44,43,0,33,34,40,50,49,0
16CS10,Dheeraj,abhishekone05@gmail.com,8901234567,39,48,40,60,40,0,50,60,86,67,65,1,45,30,79,30,25,0
16CS01,Abhi,abhishekone05@gmail.com,9799584969,45,60,70,30,20,0,50,60,86,30,17,0,90,60,40,55,70,1
16CS02,Ajay,abhishekone05@gmail.com,9001454961,55,45,65,90,95,1,80,90,85,75,70,1,30,70,60,30,50,0
16CS03,Akshay,abhishekone05@gmail.com,9001234567,60,45,83,89,76,1,35,35,40,30,20,0,60,40,88,30,65,1
16CS04,Dhruv,abhishekone05@gmail.com,9876543212,43,35,38,41,49,0,30,40,60,45,25,0,80,40,67,55,90,1
16CS05,Gourav,abhishekone05@gmail.com,8877557744,45,60,33,40,49,0,85,83,90,93,75,1,40,69,89,70,40,1
16CS06,Hargi,abhishekone05@gmail.com,6789054321,40,55,70,65,80,1,60,40,50,75,35,1,60,40,34,30,43,0
16CS07,Abhishek,abhishekone05@gmail.com,6698765432,60,40,70,80,76,1,33,38,45,59,43,0,35,60,40,30,50,0
16CS08,Sourabh,abhishekone05@gmail.com,7723456789,40,45,60,70,99,1,50,55,30,40,45,0,88,64,50,90,75,1
16CS09,Avinash,abhishekone05@gmail.com,9870298487,33,37,40,44,43,0,60,70,68,80,77,1,50,50,30,70,55,1
16CS10,Dheeraj,abhishekone05@gmail.com,8901234567,50,60,86,67,65,1,47,49,55,30,33,0,39,48,40,60,40,0
16CS01,Abhi,abhishekone05@gmail.com,9799584969,40,60,90,10,45,0,70,85,30,94,97,1,60,40,34,30,43,0
16CS02,Ajay,abhishekone05@gmail.com,9001454961,60,10,90,49,40,0,33,34,40,50,49,0,35,60,40,30,50,0
16CS03,Akshay,abhishekone05@gmail.com,9001234567,60,80,50,35,30,1,45,30,79,30,25,0,88,64,50,90,75,1
16CS04,Dhruv,abhishekone05@gmail.com,9876543212,40,60,90,10,51,1,57,60,70,30,20,0,50,50,30,70,55,1
16CS05,Gourav,abhishekone05@gmail.com,8877557744,40,70,80,75,70,1,55,45,65,90,95,1,39,48,40,60,40,0
16CS06,Hargi,abhishekone05@gmail.com,6789054321,50,40,75,73,83,1,60,45,83,89,76,1,45,60,70,30,20,0
16CS07,Abhishek,abhishekone05@gmail.com,6698765432,60,39,67,75,90,1,43,35,38,41,49,0,55,45,65,90,95,1
16CS08,Sourabh,abhishekone05@gmail.com,7723456789,33,38,45,59,43,0,45,60,33,66,49,1,60,45,83,89,76,1
16CS09,Avinash,abhishekone05@gmail.com,9870298487,50,55,30,40,45,0,40,70,80,75,70,1,43,35,38,41,49,0
16CS10,Dheeraj,abhishekone05@gmail.com,8901234567,60,70,68,80,77,1,50,40,75,73,83,1,45,60,33,40,49,0
16CS01,Abhi,abhishekone05@gmail.com,9799584969,47,49,55,30,33,0,60,39,67,75,90,1,40,55,70,65,80,1
16CS02,Ajay,abhishekone05@gmail.com,9001454961,70,85,30,94,97,1,33,38,45,59,43,0,50,60,86,30,17,0
16CS03,Akshay,abhishekone05@gmail.com,9001234567,33,34,40,50,49,0,50,55,30,40,45,0,80,90,85,75,70,1
16CS04,Dhruv,abhishekone05@gmail.com,9876543212,45,30,79,30,25,0,60,70,68,80,77,1,35,35,40,30,20,0
16CS05,Gourav,abhishekone05@gmail.com,8877557744,57,60,70,30,20,0,47,49,55,30,33,0,30,40,60,45,25,0
16CS06,Hargi,abhishekone05@gmail.com,6789054321,55,45,65,90,95,1,70,85,30,94,97,1,85,83,90,93,75,1
16CS07,Abhishek,abhishekone05@gmail.com,6698765432,60,45,83,89,76,1,33,34,40,50,49,0,60,40,50,75,35,1
16CS08,Sourabh,abhishekone05@gmail.com,7723456789,43,35,38,41,49,0,45,30,79,30,25,0,33,38,45,59,43,0
16CS09,Avinash,abhishekone05@gmail.com,9870298487,45,60,33,66,49,1,90,60,40,55,70,1,50,55,30,40,45,0
16CS10,Dheeraj,abhishekone05@gmail.com,8901234567,40,55,70,65,80,1,30,70,60,30,50,0,60,70,68,80,77,1
16CS01,Abhi,abhishekone05@gmail.com,9799584969,60,40,70,80,90,1,60,40,88,30,65,1,47,49,55,30,33,0
16CS02,Ajay,abhishekone05@gmail.com,9001454961,40,45,60,70,99,1,80,40,67,55,90,1,100,95,80,93,89,1
16CS03,Akshay,abhishekone05@gmail.com,9001234567,33,37,40,44,43,0,40,69,89,70,40,1,35,30,45,60,43,0
16CS04,Dhruv,abhishekone05@gmail.com,9876543212,50,60,86,30,17,0,60,40,34,30,43,0,63,70,75,60,80,1
16CS05,Gourav,abhishekone05@gmail.com,8877557744,80,90,85,75,70,1,35,60,40,30,50,0,53,55,80,70,73,1
16CS06,Hargi,abhishekone05@gmail.com,6789054321,35,35,40,30,20,0,88,64,50,90,75,1,33,35,55,47,50,0
16CS07,Abhishek,abhishekone05@gmail.com,6698765432,30,40,60,45,25,0,50,50,30,70,55,1,90,95,83,85,93,1
16CS08,Sourabh,abhishekone05@gmail.com,7723456789,85,83,90,93,75,1,39,48,40,60,40,0,33,30,25,29,22,0
16CS09,Avinash,abhishekone05@gmail.com,9870298487,60,40,50,75,35,1,23,25,30,40,45,0,60,40,70,60,23,1
16CS10,Dheeraj,abhishekone05@gmail.com,8901234567,100,95,80,93,89,1,30,40,60,45,25,0,90,60,40,55,70,1
16CS01,Abhi,abhishekone05@gmail.com,9799584969,35,30,45,60,43,0,85,83,90,93,75,1,30,70,60,30,50,0
16CS02,Ajay,abhishekone05@gmail.com,9001454961,63,70,75,60,80,1,60,40,50,75,35,1,60,40,88,30,65,1
16CS03,Akshay,abhishekone05@gmail.com,9001234567,53,55,80,70,73,1,100,95,80,93,89,1,80,40,67,55,90,1
16CS04,Dhruv,abhishekone05@gmail.com,9876543212,33,35,55,47,50,0,35,30,45,60,43,0,40,69,89,70,40,1
16CS05,Gourav,abhishekone05@gmail.com,8877557744,90,95,83,85,93,1,63,70,75,60,80,1,60,40,34,30,43,0
16CS06,Hargi,abhishekone05@gmail.com,6789054321,33,30,25,29,22,0,53,55,80,70,73,1,35,60,40,30,50,0
16CS07,Abhishek,abhishekone05@gmail.com,6698765432,60,40,70,60,23,1,33,35,55,47,50,0,88,64,50,90,75,1
16CS08,Sourabh,abhishekone05@gmail.com,7723456789,65,45,70,60,77,1,90,95,83,85,93,1,50,50,30,70,55,1
16CS09,Avinash,abhishekone05@gmail.com,9870298487,70,80,70,69,85,1,33,30,25,29,22,0,39,48,40,60,40,0
16CS10,Dheeraj,abhishekone05@gmail.com,8901234567,33,40,35,50,55,0,60,40,70,60,23,1,70,50,43,70,63,1
16CS01,Abhi,abhishekone05@gmail.com,9799584969,40,70,80,75,70,1,60,40,88,30,65,1,33,37,40,44,43,0
16CS02,Ajay,abhishekone05@gmail.com,9001454961,50,40,75,73,83,1,80,40,67,55,90,1,50,60,86,30,17,0
16CS03,Akshay,abhishekone05@gmail.com,9001234567,60,39,67,75,90,1,40,69,89,70,40,1,80,90,85,75,70,1
16CS04,Dhruv,abhishekone05@gmail.com,9876543212,33,38,45,59,43,0,60,40,34,30,43,0,35,35,40,30,20,0
16CS05,Gourav,abhishekone05@gmail.com,8877557744,50,55,30,40,45,0,35,60,40,30,50,0,30,40,60,45,25,0
16CS06,Hargi,abhishekone05@gmail.com,6789054321,60,70,68,80,77,1,88,64,50,90,75,1,85,83,90,93,75,1
16CS07,Abhishek,abhishekone05@gmail.com,6698765432,47,49,55,30,33,0,50,50,30,70,55,1,60,40,50,75,35,1
16CS08,Sourabh,abhishekone05@gmail.com,7723456789,70,85,30,94,97,1,39,48,40,60,40,0,100,95,80,93,89,1
16CS09,Avinash,abhishekone05@gmail.com,9870298487,33,34,40,50,49,0,45,60,70,30,20,0,35,30,45,60,43,0
16CS10,Dheeraj,abhishekone05@gmail.com,8901234567,45,30,79,30,25,0,55,45,65,90,95,1,63,70,75,60,80,1
16CS01,Abhi,abhishekone05@gmail.com,9799584969,90,60,40,55,70,1,60,45,83,89,76,1,53,55,80,70,73,1
16CS02,Ajay,abhishekone05@gmail.com,9001454961,30,70,60,30,50,0,43,35,38,41,49,0,33,35,55,47,50,0
16CS03,Akshay,abhishekone05@gmail.com,9001234567,60,40,88,30,65,1,33,38,45,59,43,0,90,95,83,85,93,1
16CS04,Dhruv,abhishekone05@gmail.com,9876543212,80,40,67,55,90,1,50,55,30,40,45,0,33,30,25,29,22,0
16CS05,Gourav,abhishekone05@gmail.com,8877557744,40,69,89,70,40,1,60,70,68,80,77,1,60,40,70,60,23,1
16CS06,Hargi,abhishekone05@gmail.com,6789054321,35,35,40,30,20,0,47,49,55,30,33,0,65,45,70,60,77,1
16CS07,Abhishek,abhishekone05@gmail.com,6698765432,30,40,60,45,25,0,35,37,39,41,43,0,22,26,30,33,35,0
16CS08,Sourabh,abhishekone05@gmail.com,7723456789,50,50,30,70,55,1,35,60,40,30,50,0,40,60,90,10,51,1
16CS09,Avinash,abhishekone05@gmail.com,9870298487,39,48,40,60,40,0,88,64,50,90,75,1,40,70,80,75,70,1
16CS10,Dheeraj,abhishekone05@gmail.com,8901234567,45,60,70,30,20,0,50,50,30,70,55,1,50,40,75,73,83,1
16CS01,Abhi,abhishekone05@gmail.com,9799584969,55,45,65,90,95,1,39,48,40,60,40,0,60,39,67,75,90,1
16CS02,Ajay,abhishekone05@gmail.com,9001454961,60,45,83,89,76,1,45,60,70,30,20,0,33,38,45,59,43,0
16CS03,Akshay,abhishekone05@gmail.com,9001234567,43,35,38,41,49,0,55,45,65,90,95,1,50,55,30,40,45,0
